Dataset Name,Webpage
Vehicle Manufacturing Dataset,https://www.kaggle.com/datasets/arnavsmayan/vehicle-manufacturing-dataset
Multi-stage continuous-flow manufacturing process,https://www.kaggle.com/datasets/supergus/multistage-continuousflow-manufacturing-process
Civil Engineering: Cement Manufacturing Dataset,https://www.kaggle.com/datasets/vinayakshanawad/cement-manufacturing-concrete-dataset

Predicting Manufacturing Defects Dataset,https://www.kaggle.com/datasets/rabieelkharoua/predicting-manufacturing-defects-dataset
casting product image data for quality inspection,https://www.kaggle.com/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product
Quality Prediction in a Mining Process,https://www.kaggle.com/datasets/edumagalhaes/quality-prediction-in-a-mining-process
Detecting Anomalies in Wafer Manufacturing,https://www.kaggle.com/datasets/arbazkhan971/anomaly-detection
Mercedes-Benz Greener Manufacturing,https://www.kaggle.com/datasets/swetashetye/mercedesbenz-greener-manufacturing
Industrial Safety and Health Analytics Database,https://www.kaggle.com/datasets/ihmstefanini/industrial-safety-and-health-analytics-database
Top Defense Manufacturers,https://www.kaggle.com/datasets/surajjha101/top-defense-manufacturers
The Reference Energy Disaggregation Data Set (REDD),https://tokhub.github.io/dbecd/links/redd.html
Prognostics Data Repository,https://www.nasa.gov/intelligent-systems-division/discovery-and-systems-health/pcoe/pcoe-data-set-repository/
Milling Wear,https://data.nasa.gov/Raw-Data/Milling-Wear/vjv9-9f3x/data
NASA Bearing Dataset,https://www.kaggle.com/datasets/vinayak123tyagi/bearing-dataset
CMAPSS Jet Engine Simulated Data,https://data.nasa.gov/Aerospace/CMAPSS-Jet-Engine-Simulated-Data/ff5v-kuh6/about_data
C-MAPSS Aircraft Engine Simulator Data,https://data.nasa.gov/dataset/C-MAPSS-Aircraft-Engine-Simulator-Data/xaut-bemq/about_data
Li-ion Battery Aging Datasets,https://c3.ndc.nasa.gov/dashlink/resources/133/
Turbofan engine degradation simulation data set,https://c3.ndc.nasa.gov/dashlink/resources/139/
PHM 2008 Challenge,https://data.nasa.gov/Raw-Data/PHM-2008-Challenge/nk8v-ckry/data


Additional Tennessee Eastman Process Simulation Data for Anomaly Detection Evaluation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6C3JR1
Control loop datasets,https://www.ufrgs.br/gimscop/repository/sisoviewer/datasets/
Oscillation detection artificial dataset,https://www.ufrgs.br/gimscop/repository/sisoviewer/datasets/
ISDB - International Stiction Data Base,https://sites.ualberta.ca/~bhuang/Stiction-Book.htm
